CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL
6461693,10/25/2016 10:53:48 PM,10/25/2016 10:58:07 PM,10/25/2016 10:58:07 PM,Closed,Case Transferred - in the future call sfpd non emergency at 415-5530123,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"4201 17TH ST, SAN FRANCISCO, CA, 94114",17TH ST,8,Eureka Valley,PARK,37.762154,-122.439757,"(37.762154, -122.439757)",Mobile/Open311,
6461354,10/25/2016 07:58:42 PM,10/26/2016 05:30:11 AM,10/26/2016 05:30:11 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"501 SUNNYDALE AVE, SAN FRANCISCO, CA, 94134",SUNNYDALE AVE,10,Visitacion Valley,INGLESIDE,37.7092628479,-122.407028198242,"(37.70926285, -122.4070282)",Web,
6461272,10/25/2016 07:26:56 PM,10/25/2016 08:22:50 PM,10/25/2016 08:22:50 PM,Closed,Case Transferred - in the future pls call non emergency police at 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"1343 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,9,Mission,MISSION,37.767712897377,-122.418422311284,"(37.7677129, -122.41842231)",Mobile/Open311,
6460680,10/25/2016 04:16:20 PM,10/25/2016 06:01:55 PM,10/25/2016 06:01:55 PM,Closed,Case Transferred - to sfpd.,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"127 AMAZON AVE, SAN FRANCISCO, CA, 94112",AMAZON AVE,11,Excelsior,INGLESIDE,37.71695,-122.439008,"(37.71695, -122.439008)",Web,
6459444,10/25/2016 12:08:31 PM,10/26/2016 05:30:11 AM,10/26/2016 05:30:11 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"259 14TH AVE, SAN FRANCISCO, CA, 94118",14TH AVE,1,Inner Richmond,RICHMOND,37.783317565918,-122.473175048828,"(37.78331757, -122.47317505)",Web,
6458747,10/25/2016 10:04:58 AM,10/25/2016 10:11:00 AM,10/25/2016 10:11:00 AM,Closed,Case is Invalid - Please call SFPD non emergency - 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"535 WASHINGTON ST, SAN FRANCISCO, CA, 94111",WASHINGTON ST,3,Financial District,CENTRAL,37.795212841613,-122.402242590894,"(37.79521284, -122.40224259)",Mobile/Open311,
6456594,10/24/2016 04:08:31 PM,10/25/2016 05:30:59 AM,10/25/2016 05:30:59 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
5152158,10/02/2015 12:05:15 AM,10/03/2015 05:28:56 AM,10/03/2015 05:28:56 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
6454368,10/24/2016 10:12:06 AM,10/24/2016 02:26:02 PM,10/24/2016 02:26:02 PM,Closed,"Case is Invalid - No contact information provided, need more information",311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"8 NOE ST, SAN FRANCISCO, CA, 94114",NOE ST,8,Duboce Triangle,PARK,37.769097467244,-122.434243050385,"(37.76909747, -122.43424305)",Web,
6453027,10/24/2016 01:05:12 AM,10/25/2016 05:30:59 AM,10/25/2016 05:30:59 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"2496 3RD ST, SAN FRANCISCO, CA, 94107",3RD ST,10,Dogpatch,BAYVIEW,37.757995605469,-122.38843536377,"(37.75799561, -122.38843536)",Phone,
6452959,10/23/2016 11:43:45 PM,10/24/2016 05:30:54 AM,10/24/2016 05:30:54 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"129 PRECITA AVE, SAN FRANCISCO, CA, 94110",PRECITA AVE,9,Bernal Heights,INGLESIDE,37.746974945068,-122.417671203613,"(37.74697495, -122.4176712)",Web,
6452529,10/23/2016 06:38:42 PM,10/23/2016 06:54:19 PM,10/23/2016 06:54:19 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"1500 INNES AVE, SAN FRANCISCO, CA, 94124",INNES AVE,10,Bayview,BAYVIEW,37.738642727104,-122.387068327152,"(37.73864273, -122.38706833)",Mobile/Open311,
6451373,10/23/2016 11:30:06 AM,10/23/2016 11:37:19 AM,10/23/2016 11:37:19 AM,Closed,Case Transferred - Reported to SFPD,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"1380 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,9,Mission,MISSION,37.767183348574,-122.418648913366,"(37.76718335, -122.41864891)",Mobile/Open311,
6451257,10/23/2016 10:53:06 AM,10/23/2016 10:59:21 AM,10/23/2016 10:59:21 AM,Closed,Case Transferred - Reported to Non-Emergency Police.,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"2806 FOLSOM ST, SAN FRANCISCO, CA, 94110",FOLSOM ST,9,Mission,MISSION,37.752322,-122.414103,"(37.752322, -122.414103)",Mobile/Open311,
6450345,10/22/2016 10:34:25 PM,10/23/2016 05:30:52 AM,10/23/2016 05:30:52 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"743 19TH AVE, SAN FRANCISCO, CA, 94121",19TH AVE,1,Outer Richmond,RICHMOND,37.773906707764,-122.477981567383,"(37.77390671, -122.47798157)",Web,
6450120,10/22/2016 07:11:09 PM,10/22/2016 07:31:19 PM,10/22/2016 07:31:19 PM,Closed,Case is a Duplicate,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of 25TH ST and BALMY ST,25TH ST,9,Mission,MISSION,37.75096991755,-122.412314644244,"(37.75096992, -122.41231464)",Mobile/Open311,
6449534,10/22/2016 03:29:44 PM,10/22/2016 03:51:46 PM,10/22/2016 03:51:46 PM,Closed,Case Resolved - Reported to SFPD Dispatcher #237. CAD #162962438.,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"2806 FOLSOM ST, SAN FRANCISCO, CA, 94110",FOLSOM ST,9,Mission,MISSION,37.752339,-122.414153,"(37.752339, -122.414153)",Mobile/Open311,
6448072,10/22/2016 06:51:01 AM,10/23/2016 05:30:53 AM,10/23/2016 05:30:53 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of VALENCIA ST and 23RD ST,VALENCIA ST,9,Mission,MISSION,37.753704071045,-122.42081451416,"(37.75370407, -122.42081451)",Phone,
6447937,10/22/2016 02:21:10 AM,10/22/2016 03:50:36 AM,10/22/2016 03:50:36 AM,Closed,Case Transferred - SFPD,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"3569 17TH ST, SAN FRANCISCO, CA, 94110",17TH ST,8,Mission Dolores,MISSION,37.76308123831,-122.425393841435,"(37.76308124, -122.42539384)",Mobile/Open311,
6447829,10/21/2016 11:39:11 PM,10/22/2016 05:30:50 AM,10/22/2016 05:30:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"743 19TH AVE, SAN FRANCISCO, CA, 94121",19TH AVE,1,Outer Richmond,RICHMOND,37.773906707764,-122.477981567383,"(37.77390671, -122.47798157)",Web,
6447707,10/21/2016 09:42:19 PM,10/22/2016 05:30:51 AM,10/22/2016 05:30:51 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"680 2ND ST, SAN FRANCISCO, CA, 94107",2ND ST,6,South Beach,SOUTHERN,37.780834197998,-122.391067504883,"(37.7808342, -122.3910675)",Web,
6447688,10/21/2016 09:27:51 PM,10/21/2016 09:43:51 PM,10/21/2016 09:43:51 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of 18TH ST and NOE ST,18TH ST,8,Castro,MISSION,37.761013456655,-122.432988435144,"(37.76101346, -122.43298844)",Mobile/Open311,
6447490,10/21/2016 07:14:15 PM,10/21/2016 07:33:50 PM,10/21/2016 07:33:50 PM,Closed,Case is Invalid - No Contact info  not enough info: Call Air Quality Mamagment @ 1-800-HELPAIR,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"2339 JUDAH ST, SAN FRANCISCO, CA, 94122",JUDAH ST,4,Outer Sunset,TARAVAL,37.761241161313,-122.487275776818,"(37.76124116, -122.48727578)",Mobile/Open311,
6447281,10/21/2016 05:51:26 PM,10/21/2016 07:01:40 PM,10/21/2016 07:01:40 PM,Closed,Case is Invalid - please see notes,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of GENEVA AVE and I-280 N OFF RAMP,GENEVA AVE,11,Cayuga,INGLESIDE,37.720986,-122.447604,"(37.720986, -122.447604)",Mobile/Open311,
6446880,10/21/2016 03:56:40 PM,10/22/2016 05:30:50 AM,10/22/2016 05:30:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
6446746,10/21/2016 03:28:55 PM,10/22/2016 05:30:50 AM,10/22/2016 05:30:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"815 FELL ST, SAN FRANCISCO, CA, 94117",FELL ST,5,Lower Haight,NORTHERN,37.774738311768,-122.431304931641,"(37.77473831, -122.43130493)",Web,
6446025,10/21/2016 12:55:38 PM,10/22/2016 05:30:50 AM,10/22/2016 05:30:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1864 PAGE ST, SAN FRANCISCO, CA, 94117",PAGE ST,5,Haight Ashbury,PARK,37.770496368408,-122.451469421387,"(37.77049637, -122.45146942)",Web,
6444131,10/21/2016 12:28:53 AM,10/22/2016 05:30:50 AM,10/22/2016 05:30:50 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1225 CAPITOL AVE, SAN FRANCISCO, CA, 94112",CAPITOL AVE,7,Ingleside,TARAVAL,37.724040985107,-122.459350585938,"(37.72404099, -122.45935059)",Web,
6444117,10/20/2016 11:54:08 PM,10/21/2016 12:28:31 AM,10/21/2016 12:28:31 AM,Closed,Case Transferred - Reported to SFPD non emer. Dispatch #102. CAD 162944256. Issue already reported. Unit dispatched,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"515 WISCONSIN ST, SAN FRANCISCO, CA, 94107",WISCONSIN ST,10,Potrero Hill,BAYVIEW,37.7608193,-122.3990877,"(37.7608193, -122.3990877)",Web,
6443995,10/20/2016 10:02:30 PM,10/21/2016 05:30:46 AM,10/21/2016 05:30:46 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"509 BUCHANAN ST, SAN FRANCISCO, CA, 94102",BUCHANAN ST,5,Hayes Valley,NORTHERN,37.774749755859,-122.427749633789,"(37.77474976, -122.42774963)",Web,
6442237,10/20/2016 01:12:13 PM,10/20/2016 01:48:00 PM,10/20/2016 01:48:00 PM,Closed,Case Transferred - Please see new sr 6442435.,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"1061 FLORIDA ST, SAN FRANCISCO, CA, 94110",FLORIDA ST,9,Mission,MISSION,37.754909769373,-122.410185526132,"(37.75490977, -122.41018553)",Mobile/Open311,
6440128,10/20/2016 02:49:33 AM,10/20/2016 05:50:58 AM,10/20/2016 05:50:58 AM,Closed,Case is a Duplicate - Duplicate of 6440135,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"1801 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,9,Mission,MISSION,37.768133849451,-122.419783501752,"(37.76813385, -122.4197835)",Mobile/Open311,
6439907,10/19/2016 10:23:44 PM,10/19/2016 10:39:25 PM,10/19/2016 10:39:25 PM,Closed,Case Transferred,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of MCALLISTER ST and VAN NESS AVE,MCALLISTER ST,5,Civic Center,NORTHERN,37.7797,-122.42,"(37.7797, -122.42)",Mobile/Open311,
6439490,10/19/2016 06:16:45 PM,10/20/2016 05:30:43 AM,10/20/2016 05:30:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"49 GOLD MINE DR, SAN FRANCISCO, CA, 94131",GOLD MINE DR,8,Diamond Heights,INGLESIDE,37.742828369141,-122.435974121094,"(37.74282837, -122.43597412)",Web,
6436736,10/19/2016 09:06:53 AM,10/20/2016 05:30:43 AM,10/20/2016 05:30:43 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"3133 IRVING ST, SAN FRANCISCO, CA, 94122",IRVING ST,4,Outer Sunset,TARAVAL,37.76277923584,-122.491668701172,"(37.76277924, -122.4916687)",Web,
6436450,10/19/2016 08:17:33 AM,10/20/2016 05:30:42 AM,10/20/2016 05:30:42 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
6436059,10/19/2016 12:12:52 AM,10/20/2016 05:30:42 AM,10/20/2016 05:30:42 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1524 IRVING ST, SAN FRANCISCO, CA, 94122",IRVING ST,5,Inner Sunset,TARAVAL,37.763809204102,-122.47437286377,"(37.7638092, -122.47437286)",Web,
6435848,10/18/2016 08:39:18 PM,10/18/2016 09:11:28 PM,10/18/2016 09:11:28 PM,Closed,Case Transferred - pls call the non emergency police at 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"779 LA PLAYA, SAN FRANCISCO, CA, 94121",LA PLAYA,1,Outer Richmond,RICHMOND,37.773761,-122.510341,"(37.773761, -122.510341)",Web,
6431869,10/18/2016 02:55:55 AM,10/20/2016 05:30:41 AM,10/20/2016 05:30:41 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"5125 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,1,Inner Richmond,RICHMOND,37.78035736084,-122.474502563477,"(37.78035736, -122.47450256)",Web,
6431867,10/18/2016 02:53:30 AM,10/20/2016 05:30:41 AM,10/20/2016 05:30:41 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"2937 RIVERA ST, SAN FRANCISCO, CA, 94116",RIVERA ST,4,Outer Sunset,TARAVAL,37.745559,-122.498028,"(37.745559, -122.498028)",Mobile/Open311,
6427016,10/16/2016 07:23:31 PM,10/17/2016 05:30:25 AM,10/17/2016 05:30:25 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1720 CLAY ST, SAN FRANCISCO, CA, 94109",CLAY ST,3,Polk Gulch,NORTHERN,37.792430877686,-122.421546936035,"(37.79243088, -122.42154694)",Web,
6426744,10/16/2016 05:13:32 PM,10/17/2016 05:30:24 AM,10/17/2016 05:30:24 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
6424557,10/15/2016 04:57:37 PM,10/15/2016 06:56:58 PM,10/15/2016 06:56:58 PM,Closed,Insufficient Information Provided - you are always welcome to call non emergency police at 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of SERRANO DR and TAPIA DR,SERRANO DR,7,Parkmerced,TARAVAL,37.718936,-122.481221,"(37.718936, -122.481221)",Mobile/Open311,
6423810,10/15/2016 12:36:45 PM,10/16/2016 05:30:23 AM,10/16/2016 05:30:23 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"779 LA PLAYA, SAN FRANCISCO, CA, 94121",LA PLAYA,1,Outer Richmond,RICHMOND,37.773765563965,-122.510208129883,"(37.77376556, -122.51020813)",Web,
6422739,10/15/2016 12:51:27 AM,10/16/2016 05:30:24 AM,10/16/2016 05:30:24 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"120 MORNINGSIDE DR, SAN FRANCISCO, CA, 94132",MORNINGSIDE DR,7,Lakeshore,TARAVAL,37.731510162354,-122.492118835449,"(37.73151016, -122.49211884)",Web,
6422695,10/14/2016 11:44:46 PM,10/15/2016 05:30:10 AM,10/15/2016 05:30:10 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,
6422694,10/14/2016 11:41:49 PM,10/14/2016 11:57:39 PM,10/14/2016 11:57:39 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of 21ST AVE and CABRILLO ST,21ST AVE,1,Outer Richmond,RICHMOND,37.774599,-122.480002,"(37.774599, -122.480002)",Mobile/Open311,
6422682,10/14/2016 11:15:55 PM,10/14/2016 11:21:40 PM,10/14/2016 11:21:40 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"1201 GENEVA AVE, SAN FRANCISCO, CA, 94112",GENEVA AVE,11,Excelsior,INGLESIDE,37.7143366,-122.4358482,"(37.7143366, -122.4358482)",Web,
6422647,10/14/2016 10:44:18 PM,10/14/2016 10:49:00 PM,10/14/2016 10:49:00 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"181 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,6,South of Market,SOUTHERN,37.778013993535,-122.406958403408,"(37.77801399, -122.4069584)",Mobile/Open311,
6422531,10/14/2016 08:26:17 PM,10/15/2016 05:30:10 AM,10/15/2016 05:30:10 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"882 14TH ST, SAN FRANCISCO, CA, 94114",14TH ST,8,Duboce Triangle,PARK,37.767593383789,-122.433044433594,"(37.76759338, -122.43304443)",Phone,
6422187,10/14/2016 05:37:03 PM,10/16/2016 12:25:23 AM,10/16/2016 12:25:23 AM,Closed,Case Transferred - SFPD was notified of this issue,311 Service Request Queue - Hold,Noise Report,Noise Issue,{{nature_of_request.label}},"12 SHOTWELL ST, SAN FRANCISCO, CA, 94103",SHOTWELL ST,9,Mission,MISSION,37.768004466815,-122.41660818469,"(37.76800447, -122.41660818)",Mobile/Open311,
6418817,10/14/2016 02:07:42 AM,10/14/2016 02:38:37 AM,10/14/2016 02:38:37 AM,Closed,Case Resolved - Called SFPD dispatch#135. Incident # 162880299,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"830 BRUSSELS ST, SAN FRANCISCO, CA, 94134",BRUSSELS ST,9,Portola,BAYVIEW,37.721824480557,-122.403591389013,"(37.72182448, -122.40359139)",Mobile/Open311,
6418755,10/14/2016 12:08:05 AM,10/15/2016 05:30:10 AM,10/15/2016 05:30:10 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"97 LOOMIS ST, SAN FRANCISCO, CA, 94124",LOOMIS ST,10,Produce Market,BAYVIEW,37.742729187012,-122.403999328613,"(37.74272919, -122.40399933)",Web,
6418560,10/13/2016 08:17:13 PM,10/13/2016 08:19:58 PM,10/13/2016 08:19:58 PM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of BRADFORD ST and UNNAMED 017,BRADFORD ST,9,Bernal Heights,INGLESIDE,37.735881576376,-122.410200923889,"(37.73588158, -122.41020092)",Mobile/Open311,
6418239,10/13/2016 05:40:34 PM,10/13/2016 06:32:12 PM,10/13/2016 06:32:12 PM,Closed,Case Resolved - Spoke with SFPD Dispatch CAD # 162873201,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"28 SHOTWELL ST, SAN FRANCISCO, CA, 94103",SHOTWELL ST,9,Mission,MISSION,37.767940931989,-122.416845224912,"(37.76794093, -122.41684522)",Mobile/Open311,
6414891,10/13/2016 08:31:21 AM,10/25/2016 11:28:29 PM,10/25/2016 11:28:29 PM,Closed,Case Resolved - Park Rangers have been notified of the noise violation and have increased patrols during reported hours.,RPD Park Service Area 2 Queue,Noise Report,Noise Issue,Noise complaint,"Koshland Park, , SAN FRANCISCO, CA, 94102",Koshland Park,5,Lower Haight,NORTHERN,37.7734661,-122.4252685,"(37.7734661, -122.4252685)",Web,
6414514,10/13/2016 07:07:09 AM,10/14/2016 05:30:07 AM,10/14/2016 05:30:07 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1017 CAPITOL AVE, SAN FRANCISCO, CA, 94112",CAPITOL AVE,11,Ingleside,TARAVAL,37.720413208008,-122.459335327148,"(37.72041321, -122.45933533)",Web,
6414260,10/12/2016 11:22:02 PM,10/12/2016 11:34:43 PM,10/12/2016 11:34:43 PM,Closed,Case Transferred,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"2351 MISSION ST, SAN FRANCISCO, CA, 94110",MISSION ST,9,Mission,MISSION,37.759219965576,-122.418333695917,"(37.75921997, -122.4183337)",Mobile/Open311,
6414063,10/12/2016 08:26:36 PM,10/12/2016 08:58:45 PM,10/12/2016 08:58:45 PM,Closed,Case Transferred,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"19 CAPP ST, SAN FRANCISCO, CA, 94103",CAPP ST,9,Mission,MISSION,37.766516666667,-122.418716666667,"(37.76651667, -122.41871667)",Mobile/Open311,
6413886,10/12/2016 06:34:51 PM,10/13/2016 05:30:05 AM,10/13/2016 05:30:05 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"1821 PACIFIC AVE, SAN FRANCISCO, CA, 94109",PACIFIC AVE,2,Pacific Heights,NORTHERN,37.794437408447,-122.425201416016,"(37.79443741, -122.42520142)",Web,
6413296,10/12/2016 03:43:18 PM,10/13/2016 05:30:05 AM,10/13/2016 05:30:05 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of NORIEGA ST and 21ST AVE,NORIEGA ST,4,Outer Sunset,TARAVAL,37.754146575928,-122.478614807129,"(37.75414658, -122.47861481)",Phone,
6411941,10/12/2016 11:52:55 AM,10/12/2016 01:22:34 PM,10/12/2016 01:22:34 PM,Closed,"Case Resolved - To report unreasonable noise problems IN PROGRESS, call Police Non-Emergency",311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"127 AMAZON AVE, SAN FRANCISCO, CA, 94112",AMAZON AVE,11,Excelsior,INGLESIDE,37.71695,-122.439008,"(37.71695, -122.439008)",Web,
6409887,10/11/2016 10:11:47 PM,10/12/2016 05:30:33 AM,10/12/2016 05:30:33 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"420 BUCHANAN ST, SAN FRANCISCO, CA, 94102",BUCHANAN ST,5,Lower Haight,NORTHERN,37.774055480957,-122.427307128906,"(37.77405548, -122.42730713)",Web,
6409529,10/11/2016 06:26:55 PM,10/17/2016 05:13:21 PM,10/17/2016 05:13:21 PM,Closed,Case Transferred - Case reported to SFPD as a homeless concern. If problem persists please call non-emergency Police at 415-553-0123. New SR # 6431108,Police - Homeless Concerns Queue,Noise Report,Noise Issue,{{nature_of_request.label}},"28 SHOTWELL ST, SAN FRANCISCO, CA, 94103",SHOTWELL ST,9,Mission,MISSION,37.767940429074,-122.41683156241,"(37.76794043, -122.41683156)",Mobile/Open311,
6408417,10/11/2016 02:49:24 PM,10/12/2016 05:30:33 AM,10/12/2016 05:30:33 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"125 MASON ST, SAN FRANCISCO, CA, 94102",MASON ST,6,Tenderloin,TENDERLOIN,37.78458404541,-122.409408569336,"(37.78458405, -122.40940857)",Web,
6407706,10/11/2016 12:52:58 PM,10/12/2016 05:30:33 AM,10/12/2016 05:30:33 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,Intersection of LAGUNA ST and OAK ST,LAGUNA ST,5,Lower Haight,NORTHERN,37.774597167969,-122.425888061523,"(37.77459717, -122.42588806)",Phone,
6230747,08/23/2016 11:17:47 PM,08/23/2016 11:22:40 PM,08/23/2016 11:22:40 PM,Closed,Comment Noted - call non emergency police at 415-553-0123,311 Supervisor Queue,Noise Report,Noise Issue,{{nature_of_request.label}},Intersection of 29TH AVE and JUDAH ST,29TH AVE,4,Outer Sunset,TARAVAL,37.76123608253,-122.487836771928,"(37.76123608, -122.48783677)",Mobile/Open311,
6405217,10/10/2016 11:04:08 PM,10/11/2016 05:30:28 AM,10/11/2016 05:30:28 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"420 BUCHANAN ST, SAN FRANCISCO, CA, 94102",BUCHANAN ST,5,Lower Haight,NORTHERN,37.774055480957,-122.427307128906,"(37.77405548, -122.42730713)",Web,
6402026,10/10/2016 09:00:54 AM,10/11/2016 05:30:28 AM,10/11/2016 05:30:28 AM,Closed,Accepted - Noise informational reports closed and summarized for department use.,Noise Report Queue,Noise Report,other_excessive_noise,Noise Report - other_excessive_noise,"145 BONVIEW ST, SAN FRANCISCO, CA, 94110",BONVIEW ST,9,Bernal Heights,INGLESIDE,37.741992950439,-122.41739654541,"(37.74199295, -122.41739655)",Phone,
